Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-01 00:00:00-04:00,155.1217377642636,156.81689566388556,153.89060999423666,154.87550354003906,466600,0.0,0.0
2020-10-02 00:00:00-04:00,153.0382550579115,154.44930392492708,152.28063707240477,153.0003662109375,354900,0.0,0.0
2020-10-05 00:00:00-04:00,154.59141531610427,154.84710008906933,152.73525137509975,153.50233459472656,381300,0.0,0.0
2020-10-06 00:00:00-04:00,154.36410770449282,156.52331001819525,153.2655621202262,153.47390747070312,346600,0.0,0.0
2020-10-07 00:00:00-04:00,154.36411911208768,156.25815738340165,153.9569078199305,155.7278289794922,339700,0.0,0.0
2020-10-08 00:00:00-04:00,156.6369494044065,157.66921117961664,154.48722650595457,155.6141815185547,302600,0.0,0.0
2020-10-09 00:00:00-04:00,155.89823384619504,156.99677914774992,155.311086800698,155.77513122558594,520500,0.0,0.0
2020-10-12 00:00:00-04:00,157.1767593578248,157.1767593578248,154.9039193243639,155.9835205078125,510300,0.0,0.0
2020-10-13 00:00:00-04:00,155.8698676130068,157.41351334449436,153.07616420446357,153.3318634033203,472300,0.0,0.0
2020-10-14 00:00:00-04:00,154.5913733977796,154.61030337188163,151.77872605490256,152.40374755859375,362200,0.0,0.0
2020-10-15 00:00:00-04:00,149.46799178175164,153.91897763415056,149.3259302793283,153.71063232421875,334800,0.0,0.0
2020-10-16 00:00:00-04:00,152.58372876892471,155.06492889736944,152.58372876892471,153.663330078125,289700,0.0,0.0
2020-10-19 00:00:00-04:00,154.21258309491174,154.59139939608835,149.33544062647331,149.6953125,312500,0.0,0.0
2020-10-20 00:00:00-04:00,149.6384659045737,152.70681264449138,149.6384659045737,150.81277465820312,268700,0.0,0.0
2020-10-21 00:00:00-04:00,151.08740773737514,152.31853535055296,150.52866998497618,150.56655883789062,283400,0.0,0.0
2020-10-22 00:00:00-04:00,150.62339030358777,150.7180835430914,148.75776152602685,149.44908142089844,371000,0.0,0.0
2020-10-23 00:00:00-04:00,149.44906740010777,150.57602233213598,148.7672125580464,149.92257690429688,278900,0.0,0.0
2020-10-26 00:00:00-04:00,148.644150808564,148.644150808564,144.3920290889604,145.95460510253906,334100,0.0,0.0
2020-10-27 00:00:00-04:00,146.55119751524515,147.45086271977326,143.17033258146517,143.20822143554688,339000,0.0,0.0
2020-10-28 00:00:00-04:00,142.1286349620269,143.26505504552512,140.19670781475108,141.64566040039062,584100,0.0,0.0
2020-10-29 00:00:00-04:00,141.46576511580008,142.98098751256654,140.3009208287869,141.4184112548828,496400,0.0,0.0
2020-10-30 00:00:00-04:00,140.43345851296775,142.2990873296357,138.9182365958659,140.3955841064453,453200,0.0,0.0
2020-11-02 00:00:00-05:00,142.64002994718837,144.45830511114536,141.38997209400327,143.72911071777344,500600,0.0,0.0
2020-11-03 00:00:00-05:00,145.15905921913694,148.86190667252455,145.15905921913694,147.8769989013672,410500,0.0,0.0
2020-11-04 00:00:00-05:00,149.75214402530392,154.8186878485795,149.30704386517326,153.81484985351562,674500,0.0,0.0
2020-11-05 00:00:00-05:00,159.21285554972954,159.21285554972954,144.24048503673146,145.5189666748047,1137400,0.0,0.0
2020-11-06 00:00:00-05:00,147.9243667431125,151.1726494675564,146.3333817395702,148.83351135253906,555100,0.0,0.0
2020-11-09 00:00:00-05:00,153.3887094543492,157.13889760133208,150.31089688430822,150.41506958007812,704100,0.0,0.0
